site,site_utm_zone,site_utme,site_utmn,area_sqr_m,site_code,site_elevation_m,depth_m,topo,wilderness,site_comments,site_id,region_id,site_name_alt,site_latitude,site_longitude,geographic_area,geographic_area_type,region,country_id,time_zone,rm,pop_id
"10491",11,365269,4094931,"11554",NA,"3377","5.7",marion_peak,kings_canyon,NA,9b440bcc-047d-44b2-a56d-a34147c02274,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9908722058614,-118.514008600111,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10492",11,364960,4093102,"88081",NA,"3138","30",marion_peak,kings_canyon,NA,f3559afa-f701-49c2-ab23-552c78e33719,9d979cf0-9264-439b-9e04-1fc725acb7cd,marion lake,36.9743462298315,-118.517152444581,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10493",11,365386,4092517,"5897",NA,"3237","6",marion_peak,kings_canyon,NA,e4b3cd54-f12b-4172-946a-850985595836,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9691356608795,-118.512263602115,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10494",11,365948,4093561,"105434",NA,"3256","14.5",marion_peak,kings_canyon,NA,a10baade-21a3-4a7b-bff8-2a98b9395b7b,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9786237445823,-118.506137455682,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10495",11,365177,4094119,"12802",NA,"3206","6.8",marion_peak,kings_canyon,NA,9e5525a1-32c7-472c-ac27-a2f62f356985,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9835418500109,-118.514896964129,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10496",11,365381,4094138,"8754",NA,"3225","3.5",marion_peak,kings_canyon,NA,8a281760-1159-4fb8-843a-8fdaab76884e,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9837422894299,-118.512608898747,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10497",11,365837,4094267,"41192",NA,"3228","8",marion_peak,kings_canyon,NA,a3f858fe-cf8b-4ea4-b35d-202ed7134e8c,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9849699165331,-118.507509739222,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10498",11,366352,4094339,"10332",NA,"3292","4.6",marion_peak,kings_canyon,NA,a6b484c6-6474-4825-af87-1b7318be5112,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9856920687743,-118.501737558634,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10499",11,366410,4093982,"10131",NA,"3292","1.6",marion_peak,kings_canyon,NA,8e4b4f96-dd6d-4c07-9158-a4201385f8b7,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9824832577241,-118.501022827645,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10500",11,360676,4092680,"65666",NA,"3120","19",marion_peak,kings_canyon,NA,63e1c0e8-66d7-4227-b3f2-5986c7dac272,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9699188356958,-118.565188515225,kings_mf_cartridge_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10501",11,361868,4091112,"6496",NA,"3180","6",marion_peak,kings_canyon,NA,21a87aed-c39f-46fe-b213-b2f79b682146,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9559650737676,-118.551515082932,kings_mf_cartridge_ck_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10502",11,362765,4091053,"5017",NA,"3395","7",marion_peak,kings_canyon,NA,94e9cc0a-07e6-4c0c-ac30-410ae6cc5149,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9555646083009,-118.541432481301,kings_mf_cartridge_ck_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10503",11,363032,4091104,"5470",NA,"3408","4",marion_peak,kings_canyon,NA,bb4b9f0a-6617-4fad-bbdd-fec2883495f0,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9560630677303,-118.538443750357,kings_mf_cartridge_ck_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10504",11,362560,4090732,"31608",NA,"3328","12",marion_peak,kings_canyon,NA,f40f1270-c105-4d25-a89e-97cbac619429,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9526420991796,-118.543675902091,kings_mf_cartridge_ck_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10505",11,362722,4090414,"8359",NA,"3335","5",marion_peak,kings_canyon,NA,5d390792-cd91-486a-9a72-1d14f8d4f0b4,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9498001633377,-118.541799205699,kings_mf_cartridge_ck_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10506",11,362488,4089889,"7921",NA,"3517","4",marion_peak,kings_canyon,NA,841e77cb-803b-47bd-b079-f825629a6dca,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9450351236675,-118.54433092211,kings_mf_cartridge_ck_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10507",11,365198,4090379,"17079",NA,"3347","5",marion_peak,kings_canyon,NA,6c660db6-8f78-4235-a7ff-b9b5156fc602,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.9498425106686,-118.513993375329,kings_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10508",11,355692,4110197,"86634",NA,"3574","30",mt_thompson,kings_canyon,NA,84022bc3-6cb2-4193-ae9c-fcad9e2ebb99,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,37.1270086031112,-118.624520810474,kings_mf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10509",11,356378,4111263,"21938",NA,"3700","9.2",mt_thompson,kings_canyon,NA,0196fb2c-6c27-4457-9b5c-ad19eab8f023,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,37.1367194955091,-118.617005521989,kings_mf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10510",11,374027,4074550,"12511",NA,"3410","6",mt_clarence_king,kings_canyon,NA,c1ff2641-cfd7-4ae4-8aa1-fd9494fcbf4c,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,36.8084164381992,-118.412231613674,kings_sf_woods_ck_sf,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,true,
"10512",11,351549,4107778,"4730",NA,"3712","4.9",mt_goddard,kings_canyon,NA,7d21d0cd-3d82-4bdd-a337-6a348627dc36,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,37.104564219913,-118.67066296251,kings_mf_goddard_ck_disappearing_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10513",11,351183,4106790,"12149",NA,"3432","5.5",mt_goddard,kings_canyon,NA,ff20b927-5f93-400b-9f24-8a6bc6eab5b8,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,37.0956038299234,-118.674584307674,kings_mf_goddard_ck_disappearing_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
"10515",11,370854,4101668,"60811",NA,"3545","22",split_mtn,kings_canyon,NA,a0a55257-36af-4e93-8e54-7011b860d839,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,37.0523664374317,-118.452422620701,kings_mf_palisade_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,
